שם בנק,שם סניף,כתובת,שכונה / עיר,תאריך סגירה,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",קרית קריניצי,יוסף ספיר 9 ,רמת גן,26/05/2016,,,,,,,,,,,,,,,
"בנק מרכנתיל דיסקונט בע""מ",רעננה,אחוזה 85 ,רעננה,08/05/2016,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",להבים,שד' רימון 1,להבים,17/05/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שלוחת פסגת זאב,שדרות משה דיין 106,ירושלים,20/05/2016,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",בית וגן,הפסגה 39 א ,ירושלים,28/06/2016,,,,,,,,,,,,,,,
"הבנק הבינלאומי הראשון לישראל בע""מ",פאגי שלוחת קרית ספר,אבני נזר 46 ,מודיעין עילית,05/06/2016,,,,,,,,,,,,,,,
"בנק פועלי אגודת ישראל בע""מ",שלוחת קרית ספר,אבני נזר 46 ,מודיעין עילית,05/06/2016,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",קרית ים,שד' ויצמן 12,קריית ים,07/07/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",פייבל,ארלוזורוב 149,תל אביב -יפו,22/07/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",היעלים,שדרות היעלים,באר שבע,27/07/2016,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",טבריה עלית,המברג 1 ,טבריה,28/07/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",כפר סבא הירוקה,רפפורט 3 ,כפר סבא,13/07/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",קרית שרת,קרן היסוד 1,חולון,17/08/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",באר יעקב,אפרים קישון 9,באר יעקב,22/08/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",מזכרת בתיה,שדרות אליהו 8 ,מזכרת בתיה,12/08/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שאול המלך,שאול המלך 1 ,תל אביב -יפו,26/08/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",מגדלי דוד,אורי 12 ,תל אביב -יפו,19/09/2016,,,,,,,,,,,,,,,
"בנק מרכנתיל דיסקונט בע""מ",כנפי נשרים -שלוחת הר-נוף,שאולזון 31,ירושלים,08/09/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",מרכז אמידים,הגליל 16 ,נצרת,09/09/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",שלוחת לב הפארק,ירושלים 34 ,רעננה,11/09/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",הרצליה פתוח,ככר דה שליט - ,הרצלייה,23/11/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",אוסישקין,אוסישקין 3 ,רמת השרון,25/11/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",קרית היובל,אורוגואי 1,ירושלים,28/11/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",גשר הירקון,יהודה המכבי 72,תל אביב -יפו,16/12/2016,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",בית התעשיה,המרד 29 ,תל אביב -יפו,06/12/2016,,,,,,,,,,,,,,,
"בנק הפועלים בע""מ",רמת אביב החדשה,רודנסקי 5,תל אביב -יפו,08/12/2016,,,,,,,,,,,,,,,
"בנק לאומי לישראל בע""מ",גבעת שמואל,נתניהו 23,גבעת שמואל,12/12/2016,,,,,,,,,,,,,,,
